1,0,0,neutral,neutral,also I was the point person on my company’s transition from the KL-5 to GR-6 system.,今の会社ではシステムをKL5からGR6に変えました,8,21,Chandler,"00:16:16,058","00:16:21,731","00:16:15,955","00:16:21,768"
2,0,1,neutral,neutral,You must’ve had your hands full.,大変だったろう でもやりました,8,21,The Interviewer,"00:16:21,939","00:16:26,029","00:16:21,958","00:16:25,525"
3,0,2,neutral,neutral,That I did. That I did.,,8,21,Chandler,"00:16:25,529","00:16:26,319",,
4,0,3,neutral,neutral,So let’s talk a little bit about your duties.,シューティーでは、職務の話ならしい,8,21,The Interviewer,"00:16:26,819","00:16:29,572","00:16:26,964","00:16:29,403"
5,0,4,surprise,positive,My duties?  All right.,うんちデューティー? どうぞ,8,21,Chandler,"00:16:34,452","00:16:40,917","00:16:34,388","00:16:40,665"
6,0,5,neutral,neutral,"Now you’ll be heading a whole division, so you’ll have a lot of duties.",君は部長職だ デューティーは重いぞ,8,21,The Interviewer,"00:16:41,125","00:16:44,337","00:16:40,937","00:16:44,250"
7,0,6,neutral,neutral,I see.,なるほど だがデューティーは部下に振り分けろ」,8,21,Chandler,"00:16:48,799","00:16:51,886","00:16:48,860","00:16:53,802"
8,0,7,neutral,neutral,But there’ll be perhaps 30 people under you so you can dump a certain amount on them.,,8,21,The Interviewer,"00:16:52,053","00:16:54,514",,
9,0,8,neutral,neutral,Good to know.,よかった,8,21,Chandler,"00:16:59,477","00:17:01,547","00:16:59,412","00:17:00,477"
10,0,9,neutral,neutral,We can go into detail,その詳細だが,8,21,The Interviewer,"00:17:01,047","00:17:02,647","00:17:01,331","00:17:02,687"
11,0,10,fear,negative,No don’t I beg of you!,今はよしましょう,8,21,Chandler,"00:17:02,855","00:17:04,857","00:17:02,791","00:17:04,313"
12,0,11,neutral,neutral,"All right then, we’ll have a definite answer for you on Monday, but I think I can say with some confidence, you’ll fit in well here.",採用については月曜に電話する だが君なら我が社でやっていける,8,21,The Interviewer,"00:17:05,024","00:17:13,324","00:17:05,086","00:17:13,279"
14,0,13,neutral,neutral,Absolutely.  You can relax,もうリラックスして 感謝します ジョークを我慢してつらかった,8,21,The Interviewer,"00:17:17,578","00:17:20,706","00:17:17,514","00:17:24,623"
15,1,0,surprise,negative,But then who? The waitress I went out with last month?,先月デートしたウェートレス?,9,23,Joey,"00:36:40,365","00:36:42,826","00:36:40,385","00:36:42,698"
16,1,1,sadness,negative,You know? Forget it!,やっぱよす,9,23,Rachel,"00:36:44,369","00:36:45,249","00:36:44,429","00:36:45,619"
17,1,2,surprise,negative,"No-no-no-no, no! Who, who were you talking about?",誰のことだよ,9,23,Joey,"00:36:46,159","00:36:49,124","00:36:45,722","00:36:47,746"
18,1,3,fear,negative,"No, I-I-I-I don't, I actually don't know",誰のことか私も分かんない,9,23,Rachel,"00:36:49,290","00:36:51,793","00:36:47,850","00:36:51,624"
19,1,4,neutral,neutral,Ok!,それじゃ一,9,23,Joey,"00:36:52,377","00:36:53,545","00:36:52,604","00:36:54,670"
20,1,5,neutral,neutral,"All right, well...",今夜泊まる部屋があるか聞いてくる,9,23,Joey,"00:36:54,587","00:36:57,340","00:36:54,859","00:36:59,756"
23,1,8,neutral,neutral,"Yeah, sure!",,9,23,Rachel,"00:36:57,507","00:37:01,386",,
24,2,0,neutral,neutral,"Hey, Mon.",モニカ,3,6,Chandler,"00:05:50,350","00:05:51,434","00:05:50,368","00:05:51,350"
25,2,1,neutral,neutral,Hey-hey-hey. You wanna hear something that sucks.,嫌なニュースよ,3,6,Monica,"00:05:52,435","00:05:53,675","00:05:52,413","00:05:54,227"
26,2,2,joy,positive,Do I ever.,聞きたいね,3,6,Chandler,"00:05:54,715","00:05:55,689","00:05:54,289","00:05:55,521"
27,2,3,sadness,negative,Chris says they’re closing down the bar.,,3,6,Monica,"00:05:57,023","00:05:57,913",,
29,2,5,neutral,neutral,"Yeah, apparently they’re turning it into some kinda coffee place.",喫茶店になるんだって,3,6,Monica,"00:05:59,943","00:06:02,153","00:05:59,545","00:06:02,235"
30,2,6,disgust,negative,Just coffee! Where are we gonna hang out now?,酒はなし? たむろできないよ,3,6,Chandler,"00:06:02,362","00:06:03,822","00:06:02,299","00:06:05,946"
32,2,8,neutral,neutral,Can I get a beer.,,3,6,Chandler,"00:06:07,367","00:06:08,257",,
33,2,9,neutral,neutral,"Hey, did you pick a roommate?",ビールを 同居人は?,3,6,Monica,"00:06:07,757","00:06:09,953","00:06:07,469","00:06:10,035"
34,2,10,joy,positive,You betcha!,決めた,3,6,Chandler,"00:06:10,161","00:06:11,401","00:06:10,180","00:06:10,911"
35,2,11,neutral,neutral,Is it the Italian guy?,あのイタリア系?,3,6,Monica,"00:06:10,901","00:06:12,122","00:06:10,973","00:06:12,204"
36,2,12,joy,positive,"Um-mm, yeah right!",まあね,3,6,Chandler,"00:06:12,289","00:06:13,498","00:06:12,724","00:06:13,622"
37,3,0,surprise,negative,"Oh my God, oh my God! Poor Monica!",モニカがかわいそう,3,12,Phoebe,"00:10:16,116","00:10:18,451","00:10:15,968","00:10:18,408"
38,3,1,surprise,negative,"What, what, what?!",回T?,3,12,Chandler,"00:10:18,618","00:10:20,912","00:10:18,511","00:10:19,827"
39,3,2,surprise,negative,What?!,,3,12,Phoebe,"00:10:20,498","00:10:20,912",,
40,3,3,neutral,neutral,He was with her when he wrote this poem.,この詩はモニカのことよ,3,12,Phoebe,"00:10:21,079","00:10:23,498","00:10:20,181","00:10:23,246"
41,3,4,neutral,neutral,"Look,  'My vessel so empty with nothing inside.",僕の花瓶は中が空っぽ僕が触れても満たされない,3,12,Phoebe,"00:10:23,665","00:10:26,501","00:10:23,352","00:10:29,125"
42,3,5,neutral,neutral,"Now that I've touched you, you seem emptier still.'",,3,12,Phoebe,"00:10:26,668","00:10:29,587",,
43,3,6,surprise,negative,"He thinks Monica is empty, she is the empty vase!",空っぽの女だと思ってる,3,12,Phoebe,"00:10:29,754","00:10:32,674","00:10:29,648","00:10:32,714"
45,3,8,sadness,negative,"Oh, totally. Oh, God, oh, she seemed so happy too.",絶対よモニカは幸せそうなのに,3,12,Phoebe,"00:10:36,386","00:10:39,139","00:10:35,114","00:10:39,218"
47,4,0,surprise,positive,Hey!,,3,11,Rachel,"00:20:23,931","00:20:24,801",,
48,4,1,joy,positive,Hi!,,3,11,Ross,"00:20:24,301","00:20:24,974",,
50,4,3,neutral,neutral,"Ah y'know, this building is on my paper route so I...",新聞配達に寄った,3,11,Ross,"00:20:26,434","00:20:29,186","00:20:26,202","00:20:29,060"
51,4,4,neutral,neutral,Oh.,,3,11,Rachel,"00:20:29,395","00:20:30,145",,
